club,Weakest_1,Weakest_2,Weakest_3,Weakest_4,Weakest_5
Monza,Medical Staff,AMF,ST,CM,GK
Udinese,AMF,ST,Medical Staff,CM,GK
Sassuolo,ST,AMF,CM,GK,Coach
Empoli,ST,AMF,Medical Staff,CM,GK
Salernitana,Medical Staff,AMF,CM,RW,ST
Lecce,ST,AMF,Medical Staff,LW,RW
Spezia,ST,AMF,Medical Staff,LW,RW
Hellas Verona,Medical Staff,ST,AMF,LW,RW
Cremonese,Medical Staff,LW,CB,RW,AMF
Sampdoria,Medical Staff,ST,AMF,CB,RB
