player_name,standardized_club
Jay Emmanuel-Thomas,Arsenal
Sanchez Watt,Arsenal
Wojciech Szczesny,Arsenal
Kerrea Gilbert,Arsenal
Philippe Senderos,Arsenal
Jack Wilshere,Arsenal
Sanchez Watt,Arsenal
Jay Emmanuel-Thomas,Arsenal
Mark Randall,Arsenal
Sanchez Watt,Arsenal
Philippe Senderos,Everton
Landon Donovan,Everton
James Vaughan,Everton
Lucas Neill,Everton
James Vaughan,Everton
Seamus Coleman,Everton
Landon Donovan,Everton
Jô,Everton
Marlon Harewood,Aston Villa
Nicky Shorey,Aston Villa
Shane Lowry,Aston Villa
Jonathan Hogg,Aston Villa
Isaiah Osbourne,Aston Villa
Eric Lichaj,Aston Villa
Craig Gardner,Aston Villa
Isaiah Osbourne,Aston Villa
Jonathan Hogg,Aston Villa
Nicky Shorey,Aston Villa
Chris Herd,Aston Villa
Nicky Shorey,Aston Villa
Shane Lowry,Aston Villa
Eric Lichaj,Aston Villa
Stefano Okaka,Fulham
Nicky Shorey,Fulham
Adam Watts,Fulham
Michael Uwezu,Fulham
Toni Kallio,Fulham
Fredrik Stoor,Fulham
Wayne Brown,Fulham
Stefan Payne,Fulham
David Stockdale,Fulham
Elliot Omozusi,Fulham
Matthew Saunders,Fulham
Wayne Brown,Fulham
Ki-hyeon Seol,Fulham
Toni Kallio,Fulham
Toni Kallio,Fulham
Wayne Brown,Fulham
Matthew Saunders,Fulham
Michael Uwezu,Fulham
Eddie Johnson,Fulham
Diomansy Kamara,Fulham
David Stockdale,Fulham
Adam Watts,Fulham
Rob Milsom,Fulham
Matthew Saunders,Fulham
Younès Kaboul,Tottenham Hotspur
Eidur Gudjohnsen,Tottenham Hotspur
Jake Livermore,Tottenham Hotspur
Danny Rose,Tottenham Hotspur
Tomas Pekhart,Tottenham Hotspur
David Button,Tottenham Hotspur
Kyle Walker,Tottenham Hotspur
Jake Livermore,Tottenham Hotspur
Oscar Jansson,Tottenham Hotspur
John Bostock,Tottenham Hotspur
Jonathan Obika,Tottenham Hotspur
Robbie Keane,Tottenham Hotspur
