Nom,Position,Nationalité,Âge,Club,Valeur marchande,Chemin image
Marc Casadó,Marc Casadó,Spain,21,FC Barcelona,€30.00m,joueurs_images\Marc_Casadó.jpg
Rayan Cherki,Rayan Cherki,"France, Algeria",21,Olympique Lyon,€30.00m,joueurs_images\Rayan_Cherki.jpg
Maximilian Beier,Maximilian Beier,Germany,22,Borussia Dortmund,€30.00m,joueurs_images\Maximilian_Beier.jpg
Youssouf Fofana,Youssouf Fofana,"France, Mali",26,AC Milan,€30.00m,joueurs_images\Youssouf_Fofana.jpg
Yéremy Pino,Yéremy Pino,Spain,22,Villarreal CF,€30.00m,joueurs_images\Yéremy_Pino.jpg
Kang-in Lee,Kang-in Lee,"Korea, South",24,Paris Saint-Germain,€30.00m,joueurs_images\Kang-in_Lee.jpg
Mykhaylo Mudryk,Mykhaylo Mudryk,Ukraine,24,Chelsea FC,€30.00m,joueurs_images\Mykhaylo_Mudryk.jpg
Isak Hien,Isak Hien,"Sweden, Burkina Faso",26,Atalanta BC,€30.00m,joueurs_images\Isak_Hien.jpg
Randal Kolo Muani,Randal Kolo Muani,"France, DR Congo",26,Juventus FC,€30.00m,joueurs_images\Randal_Kolo_Muani.jpg
Wesley Fofana,Wesley Fofana,"France, Cote d'Ivoire",24,Chelsea FC,€30.00m,joueurs_images\Wesley_Fofana.jpg
Brian Brobbey,Brian Brobbey,"Netherlands, Ghana",23,Ajax Amsterdam,€30.00m,joueurs_images\Brian_Brobbey.jpg
Reece James,Reece James,England,25,Chelsea FC,€30.00m,joueurs_images\Reece_James.jpg
Malik Tillman,Malik Tillman,"United States, Germany",22,PSV Eindhoven,€30.00m,joueurs_images\Malik_Tillman.jpg
Lucas Chevalier,Lucas Chevalier,France,23,LOSC Lille,€30.00m,joueurs_images\Lucas_Chevalier.jpg
João Félix,João Félix,Portugal,25,AC Milan,€30.00m,joueurs_images\João_Félix.jpg
