Name,Age,Nationality,Last Club,Avg Points/Game,Profile URL
Ian Hughes,,N/A,N/A,Ian Hughes,https://www.transfermarkt.com/ian-hughes/profil/trainer/35553
Salvatore Bocchetti,,N/A,N/A,Salvatore Bocchetti,https://www.transfermarkt.com/salvatore-bocchetti/profil/trainer/93761
Claude Puel,,N/A,N/A,Claude Puel,https://www.transfermarkt.com/claude-puel/profil/trainer/1240
Antonio Oliveira,,N/A,N/A,Antonio Oliveira,https://www.transfermarkt.com/antonio-oliveira/profil/trainer/52873
Alain Giresse,,N/A,N/A,Alain Giresse,https://www.transfermarkt.com/alain-giresse/profil/trainer/642
Abdullah Avcı,,N/A,N/A,Abdullah Avcı,https://www.transfermarkt.com/abdullah-avci/profil/trainer/5078
Raymond Domenech,,N/A,N/A,Raymond Domenech,https://www.transfermarkt.com/raymond-domenech/profil/trainer/1727
Rob Edwards,,N/A,N/A,Rob Edwards,https://www.transfermarkt.com/rob-edwards/profil/trainer/49800
Renato Gaúcho,,N/A,N/A,Renato Gaúcho,https://www.transfermarkt.com/renato-gaucho/profil/trainer/4728
Fernando Diniz,,N/A,N/A,Fernando Diniz,https://www.transfermarkt.com/fernando-diniz/profil/trainer/41120
Gerardo Martino,,N/A,N/A,Gerardo Martino,https://www.transfermarkt.com/gerardo-martino/profil/trainer/5616
Ante Cacic,,N/A,N/A,Ante Cacic,https://www.transfermarkt.com/ante-cacic/profil/trainer/4303
Eusebio,,N/A,N/A,Eusebio,https://www.transfermarkt.com/eusebio/profil/trainer/818
Juan Muñiz,,N/A,N/A,Juan Muñiz,https://www.transfermarkt.com/juan-muniz/profil/trainer/5177
Luca Gotti,,N/A,N/A,Luca Gotti,https://www.transfermarkt.com/luca-gotti/profil/trainer/7521
Meho Kodro,,N/A,N/A,Meho Kodro,https://www.transfermarkt.com/meho-kodro/profil/trainer/5711
Felix Magath,,N/A,N/A,Felix Magath,https://www.transfermarkt.com/felix-magath/profil/trainer/149
Juan José Borrelli,,N/A,N/A,Juan José Borrelli,https://www.transfermarkt.com/juan-jose-borrelli/profil/trainer/99358
Jocelyn Gourvennec,,N/A,N/A,Jocelyn Gourvennec,https://www.transfermarkt.com/jocelyn-gourvennec/profil/trainer/14011
Luiz Felipe Scolari,,N/A,N/A,Luiz Felipe Scolari,https://www.transfermarkt.com/luiz-felipe-scolari/profil/trainer/1068
Vanderlei Luxemburgo,,N/A,N/A,Vanderlei Luxemburgo,https://www.transfermarkt.com/vanderlei-luxemburgo/profil/trainer/1976
Carlos Mozer,,N/A,N/A,Carlos Mozer,https://www.transfermarkt.com/carlos-mozer/profil/trainer/17429
Luis García,,N/A,N/A,Luis García,https://www.transfermarkt.com/luis-garcia/profil/trainer/6444
Didier Six,,N/A,N/A,Didier Six,https://www.transfermarkt.com/didier-six/profil/trainer/22022
Hugo Ibarra,,N/A,N/A,Hugo Ibarra,https://www.transfermarkt.com/hugo-ibarra/profil/trainer/91302
Faruk Hadzibegic,,N/A,N/A,Faruk Hadzibegic,https://www.transfermarkt.com/faruk-hadzibegic/profil/trainer/1540
